Prompt,Entities
"Allow access for IP ""187.117.175.85"" from ""105.247.249.105"" source and ""WAN"" zone to ""LAN"" zone with Service ""Any""","{""IP"": [""187.117.175.85"", ""105.247.249.105""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""Any""}"
"Allow access for IP ""42.177.89.31"" from ""12.240.72.44"" source and ""LAN"" zone to ""WAN"" zone with Service ""Telnet""","{""IP"": [""42.177.89.31"", ""12.240.72.44""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""Telnet""}"
"Allow access for IP ""164.112.253.201"" from ""158.3.151.24"" source and ""DMZ"" zone to ""WAN"" zone with Service ""Telnet""","{""IP"": [""164.112.253.201"", ""158.3.151.24""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""Telnet""}"
"Allow access for IP ""123.254.132.88"" from ""6.227.251.176"" source and ""LAN"" zone to ""LAN"" zone with Service ""HTTPS""","{""IP"": [""123.254.132.88"", ""6.227.251.176""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""255.253.83.184"" from ""227.142.122.222"" source and ""WAN"" zone to ""DMZ"" zone with Service ""SSH""","{""IP"": [""255.253.83.184"", ""227.142.122.222""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""SSH""}"
"Allow access for IP ""67.199.27.48"" from ""97.182.222.138"" source and ""WAN"" zone to ""LAN"" zone with Service ""HTTPS""","{""IP"": [""67.199.27.48"", ""97.182.222.138""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""27.1.136.30"" from ""223.247.62.76"" source and ""WAN"" zone to ""DMZ"" zone with Service ""SSH""","{""IP"": [""27.1.136.30"", ""223.247.62.76""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""SSH""}"
"Allow access for IP ""233.6.165.202"" from ""236.41.184.132"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""HTTPS""","{""IP"": [""233.6.165.202"", ""236.41.184.132""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTPS""}"
"Allow access for IP ""241.10.49.7"" from ""90.163.35.125"" source and ""WAN"" zone to ""WAN"" zone with Service ""Telnet""","{""IP"": [""241.10.49.7"", ""90.163.35.125""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""Telnet""}"
"Allow access for IP ""48.10.161.205"" from ""74.217.32.49"" source and ""LAN"" zone to ""DMZ"" zone with Service ""SSH""","{""IP"": [""48.10.161.205"", ""74.217.32.49""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""SSH""}"
"Allow access for IP ""32.31.11.164"" from ""172.170.1.188"" source and ""DMZ"" zone to ""LAN"" zone with Service ""Telnet""","{""IP"": [""32.31.11.164"", ""172.170.1.188""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""Telnet""}"
"Allow access for IP ""34.74.94.49"" from ""127.41.151.216"" source and ""LAN"" zone to ""DMZ"" zone with Service ""FTP""","{""IP"": [""34.74.94.49"", ""127.41.151.216""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""FTP""}"
"Allow access for IP ""203.215.171.250"" from ""115.114.12.78"" source and ""WAN"" zone to ""LAN"" zone with Service ""FTP""","{""IP"": [""203.215.171.250"", ""115.114.12.78""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""FTP""}"
"Allow access for IP ""160.99.30.190"" from ""103.55.197.242"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""SSH""","{""IP"": [""160.99.30.190"", ""103.55.197.242""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""SSH""}"
"Allow access for IP ""147.228.42.107"" from ""160.157.69.131"" source and ""DMZ"" zone to ""WAN"" zone with Service ""Telnet""","{""IP"": [""147.228.42.107"", ""160.157.69.131""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""Telnet""}"
"Allow access for IP ""16.200.226.158"" from ""15.152.164.56"" source and ""WAN"" zone to ""WAN"" zone with Service ""Telnet""","{""IP"": [""16.200.226.158"", ""15.152.164.56""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""Telnet""}"
"Allow access for IP ""210.34.230.43"" from ""175.141.3.24"" source and ""LAN"" zone to ""WAN"" zone with Service ""Telnet""","{""IP"": [""210.34.230.43"", ""175.141.3.24""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""Telnet""}"
"Allow access for IP ""87.129.236.103"" from ""15.139.93.250"" source and ""WAN"" zone to ""DMZ"" zone with Service ""FTP""","{""IP"": [""87.129.236.103"", ""15.139.93.250""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""FTP""}"
"Allow access for IP ""255.196.185.95"" from ""204.241.185.227"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""HTTP""","{""IP"": [""255.196.185.95"", ""204.241.185.227""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTP""}"
"Allow access for IP ""1.96.71.14"" from ""204.173.192.127"" source and ""WAN"" zone to ""DMZ"" zone with Service ""HTTP""","{""IP"": [""1.96.71.14"", ""204.173.192.127""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTP""}"
"Allow access for IP ""121.172.133.127"" from ""193.33.237.156"" source and ""LAN"" zone to ""LAN"" zone with Service ""FTP""","{""IP"": [""121.172.133.127"", ""193.33.237.156""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""FTP""}"
"Allow access for IP ""45.188.23.151"" from ""108.24.114.92"" source and ""WAN"" zone to ""DMZ"" zone with Service ""SSH""","{""IP"": [""45.188.23.151"", ""108.24.114.92""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""SSH""}"
"Allow access for IP ""111.12.240.9"" from ""164.70.21.84"" source and ""WAN"" zone to ""WAN"" zone with Service ""HTTPS""","{""IP"": [""111.12.240.9"", ""164.70.21.84""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""72.43.226.229"" from ""70.99.158.232"" source and ""WAN"" zone to ""WAN"" zone with Service ""HTTPS""","{""IP"": [""72.43.226.229"", ""70.99.158.232""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""151.224.152.174"" from ""172.9.230.106"" source and ""DMZ"" zone to ""WAN"" zone with Service ""SSH""","{""IP"": [""151.224.152.174"", ""172.9.230.106""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""SSH""}"
"Allow access for IP ""20.48.88.150"" from ""70.230.238.118"" source and ""DMZ"" zone to ""LAN"" zone with Service ""HTTP""","{""IP"": [""20.48.88.150"", ""70.230.238.118""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""196.53.254.9"" from ""99.149.108.156"" source and ""DMZ"" zone to ""LAN"" zone with Service ""HTTPS""","{""IP"": [""196.53.254.9"", ""99.149.108.156""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""244.243.173.97"" from ""102.47.110.200"" source and ""WAN"" zone to ""WAN"" zone with Service ""FTP""","{""IP"": [""244.243.173.97"", ""102.47.110.200""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""FTP""}"
"Allow access for IP ""116.96.73.136"" from ""169.144.51.61"" source and ""DMZ"" zone to ""LAN"" zone with Service ""HTTPS""","{""IP"": [""116.96.73.136"", ""169.144.51.61""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""210.185.7.1"" from ""161.125.3.2"" source and ""DMZ"" zone to ""LAN"" zone with Service ""HTTPS""","{""IP"": [""210.185.7.1"", ""161.125.3.2""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""92.224.74.93"" from ""252.170.38.187"" source and ""LAN"" zone to ""WAN"" zone with Service ""HTTP""","{""IP"": [""92.224.74.93"", ""252.170.38.187""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""129.122.106.32"" from ""178.84.228.216"" source and ""WAN"" zone to ""LAN"" zone with Service ""HTTPS""","{""IP"": [""129.122.106.32"", ""178.84.228.216""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""48.61.166.62"" from ""99.114.7.1"" source and ""LAN"" zone to ""LAN"" zone with Service ""FTP""","{""IP"": [""48.61.166.62"", ""99.114.7.1""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""FTP""}"
"Allow access for IP ""109.41.182.48"" from ""255.123.104.88"" source and ""LAN"" zone to ""DMZ"" zone with Service ""HTTPS""","{""IP"": [""109.41.182.48"", ""255.123.104.88""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTPS""}"
"Allow access for IP ""108.14.87.37"" from ""108.64.195.32"" source and ""DMZ"" zone to ""WAN"" zone with Service ""RDP""","{""IP"": [""108.14.87.37"", ""108.64.195.32""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""RDP""}"
"Allow access for IP ""77.45.246.247"" from ""240.152.98.160"" source and ""LAN"" zone to ""DMZ"" zone with Service ""HTTPS""","{""IP"": [""77.45.246.247"", ""240.152.98.160""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTPS""}"
"Allow access for IP ""215.192.1.173"" from ""233.248.214.121"" source and ""LAN"" zone to ""DMZ"" zone with Service ""HTTP""","{""IP"": [""215.192.1.173"", ""233.248.214.121""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTP""}"
"Allow access for IP ""149.211.130.92"" from ""108.171.157.81"" source and ""LAN"" zone to ""WAN"" zone with Service ""FTP""","{""IP"": [""149.211.130.92"", ""108.171.157.81""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""FTP""}"
"Allow access for IP ""174.194.215.208"" from ""42.41.29.97"" source and ""WAN"" zone to ""DMZ"" zone with Service ""RDP""","{""IP"": [""174.194.215.208"", ""42.41.29.97""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""RDP""}"
"Allow access for IP ""12.74.79.246"" from ""172.195.188.177"" source and ""WAN"" zone to ""WAN"" zone with Service ""HTTP""","{""IP"": [""12.74.79.246"", ""172.195.188.177""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""77.104.70.52"" from ""106.225.191.198"" source and ""DMZ"" zone to ""WAN"" zone with Service ""Telnet""","{""IP"": [""77.104.70.52"", ""106.225.191.198""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""Telnet""}"
"Allow access for IP ""93.201.139.15"" from ""219.8.90.83"" source and ""LAN"" zone to ""LAN"" zone with Service ""Any""","{""IP"": [""93.201.139.15"", ""219.8.90.83""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""Any""}"
"Allow access for IP ""185.191.34.147"" from ""192.158.116.238"" source and ""LAN"" zone to ""LAN"" zone with Service ""SSH""","{""IP"": [""185.191.34.147"", ""192.158.116.238""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""LAN"", ""Service"": ""SSH""}"
"Allow access for IP ""183.35.161.99"" from ""129.154.40.192"" source and ""WAN"" zone to ""WAN"" zone with Service ""FTP""","{""IP"": [""183.35.161.99"", ""129.154.40.192""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""FTP""}"
"Allow access for IP ""151.188.208.203"" from ""178.74.69.144"" source and ""WAN"" zone to ""WAN"" zone with Service ""Any""","{""IP"": [""151.188.208.203"", ""178.74.69.144""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""Any""}"
"Allow access for IP ""226.155.27.90"" from ""218.52.114.235"" source and ""DMZ"" zone to ""WAN"" zone with Service ""SSH""","{""IP"": [""226.155.27.90"", ""218.52.114.235""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""SSH""}"
"Allow access for IP ""247.157.94.197"" from ""166.117.240.203"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""Telnet""","{""IP"": [""247.157.94.197"", ""166.117.240.203""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""Telnet""}"
"Allow access for IP ""155.178.207.126"" from ""170.61.231.34"" source and ""WAN"" zone to ""LAN"" zone with Service ""Any""","{""IP"": [""155.178.207.126"", ""170.61.231.34""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""Any""}"
"Allow access for IP ""207.138.58.229"" from ""190.85.103.135"" source and ""WAN"" zone to ""LAN"" zone with Service ""HTTP""","{""IP"": [""207.138.58.229"", ""190.85.103.135""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""103.210.231.253"" from ""225.141.192.4"" source and ""DMZ"" zone to ""LAN"" zone with Service ""RDP""","{""IP"": [""103.210.231.253"", ""225.141.192.4""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""RDP""}"
"Allow access for IP ""214.237.104.123"" from ""229.167.112.72"" source and ""LAN"" zone to ""WAN"" zone with Service ""HTTP""","{""IP"": [""214.237.104.123"", ""229.167.112.72""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""180.174.218.22"" from ""25.205.7.122"" source and ""WAN"" zone to ""WAN"" zone with Service ""Any""","{""IP"": [""180.174.218.22"", ""25.205.7.122""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""WAN"", ""Service"": ""Any""}"
"Allow access for IP ""46.218.64.169"" from ""79.22.132.157"" source and ""DMZ"" zone to ""DMZ"" zone with Service ""SSH""","{""IP"": [""46.218.64.169"", ""79.22.132.157""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""DMZ"", ""Service"": ""SSH""}"
"Allow access for IP ""46.40.1.91"" from ""33.116.246.206"" source and ""DMZ"" zone to ""LAN"" zone with Service ""HTTPS""","{""IP"": [""46.40.1.91"", ""33.116.246.206""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""LAN"", ""Service"": ""HTTPS""}"
"Allow access for IP ""231.38.186.134"" from ""213.207.100.41"" source and ""DMZ"" zone to ""WAN"" zone with Service ""HTTP""","{""IP"": [""231.38.186.134"", ""213.207.100.41""], ""SourceZone"": ""DMZ"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTP""}"
"Allow access for IP ""186.102.103.233"" from ""127.20.10.128"" source and ""WAN"" zone to ""DMZ"" zone with Service ""HTTPS""","{""IP"": [""186.102.103.233"", ""127.20.10.128""], ""SourceZone"": ""WAN"", ""DestinationZone"": ""DMZ"", ""Service"": ""HTTPS""}"
"Allow access for IP ""60.20.160.189"" from ""215.26.151.203"" source and ""LAN"" zone to ""WAN"" zone with Service ""HTTPS""","{""IP"": [""60.20.160.189"", ""215.26.151.203""], ""SourceZone"": ""LAN"", ""DestinationZone"": ""WAN"", ""Service"": ""HTTPS""}"
